id,strava_activity_id,activity_name,is_parkrun,event_name,distance_km,pace_min_per_km,elevation_gain,day_of_week,hour,month,contains_parkrun,contains_marathon,contains_half,contains_ultra,contains_fun_run,name_length,is_5k,is_10k,is_half_marathon,is_marathon,is_ultra,coord_count,day_of_week,day_0.0,day_1.0,day_2.0,day_3.0,day_4.0,day_5.0,day_6.0,hour_6.0,hour_7.0,hour_8.0,hour_9.0,hour_10.0,hour_other
762.0,14875292914.0,Cooks river fun run 2025,False,Cooks River Fun Run,10.0649,4.355068935939089,46.0,6.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,0,1,0,0,0,0,6.0,False,False,False,False,False,False,True,False,False,False,True,False,False
3107.0,14875093328.0,Cooks River 10K,False,Cooks River Fun Run,9.8329,4.067975876903049,30.0,6.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,30.0,0,1,0,0,0,0,6.0,False,False,False,False,False,False,True,False,False,False,True,False,False
4383.0,14875345602.0,Kiama Coastal Classic,False,Kiama Coastal Classic,21.1455,6.702765757883868,545.0,6.0,8.0,6.0,0.0,0.0,1.0,0.0,0.0,26.0,0,0,1,0,0,0,6.0,False,False,False,False,False,False,True,False,False,True,False,False,False
2236.0,14875262702.0,Kiama Costal Classic Half Marathon first trail done!,False,Kiama Coastal Classic,21.1817,5.972923167954728,550.0,6.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,17.0,0,0,1,0,0,0,6.0,False,False,False,False,False,False,True,False,False,True,False,False,False
4384.0,14512821170.0,Sydney 10,False,Sydney 10,10.1228,4.661095085681168,28.0,6.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,0,1,0,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
4168.0,14512969420.0,Sydney 10KM 🎉,False,Sydney 10,10.0305,4.767126929531596,41.8,6.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,0,1,0,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
767.0,14512977729.0,Sydney 10km,False,Sydney 10,10.1154,4.366279797800054,36.0,6.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,0,1,0,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
2239.0,14512788648.0,Sydney 10,False,Sydney 10,10.1216,3.976644008852355,29.0,6.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0,1,0,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
4317.0,14512845799.0,Sydney 10,False,Sydney 10,10.1302,3.7659671082505777,24.0,6.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0,1,0,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
769.0,14277921249.0,Sri Chinmoy Cooleman Clip 10km,False,Sri Chinmoy Cooleman Clip 10k,9.7366,5.922669788906462,314.0,4.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,0,1,0,0,0,0,4.0,False,False,False,False,True,False,False,False,False,False,False,True,False
2240.0,14160339874.0,Canberra Half Sub135 done!,False,Canberra Half marathon,21.3644,4.394381931312527,121.0,6.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,0,0,1,0,0,0,6.0,False,False,False,False,False,False,True,False,False,True,False,False,False
2508.0,14160416197.0,Canberra marathon,False,Canberra Marathon,42.4804,5.222408451897816,266.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,34.0,0,0,0,1,0,0,6.0,False,False,False,False,False,False,True,True,False,False,False,False,False
770.0,14156384432.0,Sydney Backyard Ultra,False,Sydney Backyard Ultra,104.294,7.4305968384247105,681.0,5.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,0,0,0,0,1,0,5.0,False,False,False,False,False,True,False,False,False,True,False,False,False
