id,strava_activity_id,activity_name,distance,elapsed_time,moving_time,date,elevation_gain,average_heartrate,max_heartrate,final_time,final_distance,event_name,has_polyline,polyline_length,source,year,month,day_of_week,hour,pace_min_per_km,distance_km,time_minutes,is_parkrun,distance_category
2236,14875262702,Kiama Costal Classic Half Marathon first trail done!,21181.7,7648,7591,2025-06-22 08:01:29+00:00,550.0,142.8,159.0,7591,21181.7,Kiama Coastal Classic,1,1156.0,oauth,2025,6,6,8,5.972923167954728,21.1817,126.51666666666667,False,21-42km
4384,14512821170,Sydney 10,10122.8,2831,2831,2025-05-18 07:45:27+00:00,28.0,163.7,177.0,2831,10122.8,Sydney 10,1,886.0,oauth,2025,5,6,7,4.661095085681168,10.1228,47.18333333333333,False,10-15km
4168,14512969420,Sydney 10KM 🎉,10030.5,2869,2869,2025-05-18 07:45:26+00:00,41.8,162.1,179.0,2869,10030.5,Sydney 10,1,853.0,oauth,2025,5,6,7,4.767126929531596,10.0305,47.81666666666667,False,10-15km
767,14512977729,Sydney 10km,10115.4,2650,2650,2025-05-18 07:45:24+00:00,36.0,164.8,174.0,2650,10115.4,Sydney 10,1,781.0,oauth,2025,5,6,7,4.366279797800054,10.1154,44.166666666666664,False,10-15km
2239,14512788648,Sydney 10,10121.6,2415,2415,2025-05-18 07:45:05+00:00,29.0,163.5,173.0,2415,10121.6,Sydney 10,1,895.0,oauth,2025,5,6,7,3.976644008852355,10.1216,40.25,False,10-15km
4317,14512845799,Sydney 10,10130.2,2289,2289,2025-05-18 07:20:52+00:00,24.0,173.1,185.0,2289,10130.2,Sydney 10,1,948.0,oauth,2025,5,6,7,3.7659671082505772,10.1302,38.15,False,10-15km
769,14277921249,Sri Chinmoy Cooleman Clip 10km,9736.6,3460,3460,2025-04-25 10:20:06+00:00,314.0,161.3,177.0,3460,9736.6,Sri Chinmoy Cooleman Clip 10k,1,1070.0,oauth,2025,4,4,10,5.922669788906462,9.736600000000001,57.666666666666664,False,5-10km
2240,14160339874,Canberra Half Sub135 done!,21364.4,5648,5633,2025-04-13 08:30:17+00:00,121.0,157.8,173.0,5633,21364.4,Canberra Half marathon,1,1151.0,oauth,2025,4,6,8,4.394381931312527,21.3644,93.88333333333334,False,21-42km
2508,14160416197,Canberra marathon,42480.4,13485,13311,2025-04-13 06:16:17+00:00,266.0,171.3,193.0,13311,42480.4,Canberra Marathon,1,1222.0,oauth,2025,4,6,6,5.222408451897816,42.4804,221.85,False,>42km
770,14156384432,Sydney Backyard Ultra,104294.0,53866,46498,2025-04-12 08:00:01+00:00,681.0,131.5,154.0,46498,104294.0,Sydney Backyard Ultra,1,1377.0,oauth,2025,4,5,8,7.4305968384247105,104.294,774.9666666666667,False,
