id,strava_activity_id,activity_name,distance,elapsed_time,moving_time,date,elevation_gain,average_heartrate,max_heartrate,final_time,final_distance,event_name,is_hidden,has_polyline,polyline_length,source,is_parkrun,year,month,day_of_week,hour,day_name,pace_min_per_km,distance_km,time_minutes,distance_category
651,15404084514,City2Surf 2025,14008.7,4134,4134,2025-08-10 07:36:51+00:00,196.0,152.0,172.0,4134,14008.7,City2Surf,0,1,1085.0,oauth,False,2025,8,6,7,Sunday,4.91837215444688,14.008700000000001,68.9,10-15km
4382,15403983903,City2Surf 2025,14010.5,4016,4016,2025-08-10 07:36:05+00:00,199.0,160.8,173.0,4016,14010.5,City2Surf,0,1,1087.0,oauth,False,2025,8,6,7,Sunday,4.777369353936928,14.0105,66.93333333333334,10-15km
753,15404299656,City2surf 2025,13911.9,3773,3773,2025-08-10 07:36:04+00:00,210.0,165.4,177.0,3773,13911.9,City2Surf,0,1,1073.0,oauth,False,2025,8,6,7,Sunday,4.520111079962718,13.9119,62.88333333333333,10-15km
3106,15314676866,Richmond Harriers Arthur Thornton 8K Handicap,8105.6,1976,1976,2025-08-02 14:18:47+00:00,11.0,147.1,162.0,1976,8105.6,,0,1,743.0,oauth,False,2025,8,5,14,Saturday,4.06303460981708,8.1056,32.93333333333333,5-10km
2506,15246917111,Harbour 10km,10102.2,2626,2626,2025-07-27 08:15:56+00:00,48.0,167.9,185.0,2626,10102.2,Sydney Harbour 10,0,1,1033.0,oauth,False,2025,7,6,8,Sunday,4.3323896444998775,10.1022,43.766666666666666,10-15km
754,15235653101,Woodies Centennial parky TT,5024.3,1308,1308,2025-07-26 07:01:05+00:00,17.0,162.1,173.0,1308,5024.3,parkrun,1,1,413.0,oauth,True,2025,7,5,7,Saturday,4.33891288338674,5.0243,21.8,5-10km
756,15159429643,Chipping Norton parky,5004.8,1274,1270,2025-07-19 08:03:15+00:00,21.0,159.7,180.0,1270,5004.8,parkrun,1,1,517.0,oauth,True,2025,7,5,8,Saturday,4.229273231031543,5.0048,21.166666666666668,5-10km
758,15083451828,Queanbeyan parky,5000.1,1359,1356,2025-07-12 08:05:31+00:00,96.0,160.4,172.0,1356,5000.1,parkrun,1,1,492.0,oauth,True,2025,7,5,8,Saturday,4.519909601807964,5.000100000000001,22.6,5-10km
760,14999436977,Bravehearts half,20927.0,6731,6728,2025-07-04 07:06:46+00:00,102.0,155.7,176.0,6728,20927.0,Bravehearts Half,0,1,1152.0,oauth,False,2025,7,4,7,Friday,5.358309042544719,20.927,112.13333333333334,15-21km
2507,14875272918,Cooks river 10km fun run,10071.7,2587,2584,2025-06-22 09:01:42+00:00,42.0,177.1,194.0,2584,10071.7,Cooks River Fun Run,0,1,1001.0,oauth,False,2025,6,6,9,Sunday,4.27600769151848,10.0717,43.06666666666667,10-15km
762,14875292914,Cooks river fun run 2025,10064.9,2635,2630,2025-06-22 09:01:33+00:00,46.0,169.1,181.0,2630,10064.9,Cooks River Fun Run,0,1,992.0,oauth,False,2025,6,6,9,Sunday,4.355068935939089,10.0649,43.833333333333336,10-15km
3107,14875093328,Cooks River 10K,9832.9,2400,2400,2025-06-22 09:01:31+00:00,30.0,167.9,184.0,2400,9832.9,Cooks River Fun Run,0,1,972.0,oauth,False,2025,6,6,9,Sunday,4.067975876903049,9.8329,40.0,5-10km
4383,14875345602,Kiama Coastal Classic,21145.5,8509,8504,2025-06-22 08:01:32+00:00,545.0,153.4,166.0,8504,21145.5,Kiama Coastal Classic,0,1,1159.0,oauth,False,2025,6,6,8,Sunday,6.702765757883868,21.1455,141.73333333333332,21-42km
2236,14875262702,Kiama Costal Classic Half Marathon first trail done!,21181.7,7648,7591,2025-06-22 08:01:29+00:00,550.0,142.8,159.0,7591,21181.7,Kiama Coastal Classic,0,1,1156.0,oauth,False,2025,6,6,8,Sunday,5.972923167954728,21.1817,126.51666666666667,21-42km
764,14718032463,Panania parky,5004.4,1269,1266,2025-06-07 08:09:00+00:00,18.0,163.6,189.0,1266,5004.4,parkrun,1,1,485.0,oauth,True,2025,6,5,8,Saturday,4.216289665094718,5.0043999999999995,21.1,5-10km
2238,14717990118,official sub20 parkrun achieved!,4987.7,1183,1183,2025-06-07 08:02:31+00:00,3.0,160.2,173.0,1183,4987.7,parkrun,1,1,566.0,oauth,True,2025,6,5,8,Saturday,3.953057855658252,4.9877,19.716666666666665,<5km
766,14646059332,MQ parky - woodies TT2,4779.2,1270,1261,2025-05-31 08:08:00+00:00,56.0,165.8,184.0,1261,4779.2,parkrun,1,1,569.0,oauth,True,2025,5,5,8,Saturday,4.397528177658744,4.7791999999999994,21.016666666666666,<5km
4384,14512821170,Sydney 10,10122.8,2831,2831,2025-05-18 07:45:27+00:00,28.0,163.7,177.0,2831,10122.8,Sydney 10,0,1,886.0,oauth,False,2025,5,6,7,Sunday,4.661095085681168,10.1228,47.18333333333333,10-15km
4168,14512969420,Sydney 10KM 🎉,10030.5,2869,2869,2025-05-18 07:45:26+00:00,41.8,162.1,179.0,2869,10030.5,Sydney 10,0,1,853.0,oauth,False,2025,5,6,7,Sunday,4.767126929531596,10.0305,47.81666666666667,10-15km
767,14512977729,Sydney 10km,10115.4,2650,2650,2025-05-18 07:45:24+00:00,36.0,164.8,174.0,2650,10115.4,Sydney 10,0,1,781.0,oauth,False,2025,5,6,7,Sunday,4.366279797800054,10.1154,44.166666666666664,10-15km
2239,14512788648,Sydney 10,10121.6,2415,2415,2025-05-18 07:45:05+00:00,29.0,163.5,173.0,2415,10121.6,Sydney 10,0,1,895.0,oauth,False,2025,5,6,7,Sunday,3.976644008852355,10.1216,40.25,10-15km
4317,14512845799,Sydney 10,10130.2,2289,2289,2025-05-18 07:20:52+00:00,24.0,173.1,185.0,2289,10130.2,Sydney 10,0,1,948.0,oauth,False,2025,5,6,7,Sunday,3.7659671082505772,10.1302,38.15,10-15km
768,14285748662,Coombies,5006.3,1326,1326,2025-04-26 08:02:23+00:00,38.0,161.8,172.0,1326,5006.3,parkrun,1,1,458.0,oauth,True,2025,4,5,8,Saturday,4.414437808361464,5.0063,22.1,5-10km
769,14277921249,Sri Chinmoy Cooleman Clip 10km,9736.6,3460,3460,2025-04-25 10:20:06+00:00,314.0,161.3,177.0,3460,9736.6,Sri Chinmoy Cooleman Clip 10k,0,1,1070.0,oauth,False,2025,4,4,10,Friday,5.922669788906462,9.736600000000001,57.666666666666664,5-10km
2240,14160339874,Canberra Half Sub135 done!,21364.4,5648,5633,2025-04-13 08:30:17+00:00,121.0,157.8,173.0,5633,21364.4,Canberra Half marathon,0,1,1151.0,oauth,False,2025,4,6,8,Sunday,4.394381931312527,21.3644,93.88333333333334,21-42km
2508,14160416197,Canberra marathon,42480.4,13485,13311,2025-04-13 06:16:17+00:00,266.0,171.3,193.0,13311,42480.4,Canberra Marathon,0,1,1222.0,oauth,False,2025,4,6,6,Sunday,5.222408451897816,42.4804,221.85,>42km
770,14156384432,Sydney Backyard Ultra,104294.0,53866,46498,2025-04-12 08:00:01+00:00,681.0,131.5,154.0,46498,104294.0,Sydney Backyard Ultra,0,1,1377.0,oauth,False,2025,4,5,8,Saturday,7.4305968384247105,104.294,774.9666666666667,
3108,14091896812,Shellharbour 10K,9963.6,2358,2358,2025-04-06 08:45:31+00:00,47.0,175.2,190.0,2358,9963.6,Shellharbour 10K,0,1,855.0,oauth,False,2025,4,6,8,Sunday,3.944357461158617,9.9636,39.3,5-10km
4385,14092131733,Hobart Marathon 2025,42516.5,14131,14117,2025-04-06 06:01:10+00:00,468.0,149.4,167.0,14117,42516.5,Hobart Marathon,0,1,1305.0,oauth,False,2025,4,6,6,Sunday,5.533929964445176,42.5165,235.28333333333333,>42km
775,14014819331,Greenway Woodies TT,5000.0,1280,1280,2025-03-29 08:02:10+00:00,9.0,159.6,171.0,1280,5000.0,parkrun,1,1,500.0,oauth,True,2025,3,5,8,Saturday,4.266666666666667,5.0,21.333333333333332,<5km
777,13949121443,Cookies,4966.3,1301,1296,2025-03-22 08:01:05+00:00,25.0,163.3,171.0,1296,4966.3,parkrun,1,1,456.0,oauth,True,2025,3,5,8,Saturday,4.3493143789138795,4.9663,21.6,<5km
4169,13692281673,Husky 10K 🎉💥🔥,9539.5,2790,2790,2025-02-22 16:40:09+00:00,74.8,170.1,181.0,2790,9539.5,,0,1,884.0,oauth,False,2025,2,5,16,Saturday,4.874469311808795,9.5395,46.5,5-10km
2509,13637322385,SMC -10km,10034.2,2680,2656,2025-02-16 07:31:55+00:00,69.0,176.8,189.0,2656,10034.2,SMC 10k,0,1,1018.0,oauth,False,2025,2,6,7,Sunday,4.411579066260057,10.0342,44.266666666666666,10-15km
4386,13637172374,SMC Long run,30132.2,9284,9283,2025-02-16 06:06:42+00:00,120.0,148.9,170.0,9283,30132.2,SMC 30k,0,1,1236.0,oauth,False,2025,2,6,6,Sunday,5.134595770194896,30.1322,154.71666666666667,21-42km
779,13567535924,Pyrmont,5060.4,1659,1647,2025-02-08 08:01:34+00:00,10.0,136.0,148.0,1647,5060.4,parkrun,1,1,523.0,oauth,True,2025,2,5,8,Saturday,5.424472373725398,5.0604,27.45,5-10km
781,13504550619,Cookies 10th birthday!,4994.1,1309,1309,2025-02-01 08:05:50+00:00,27.0,164.6,173.0,1309,4994.1,parkrun,1,1,478.0,oauth,True,2025,2,5,8,Saturday,4.368488149349566,4.9941,21.816666666666666,<5km
3109,13503877080,Sun Run,10041.8,2434,2434,2025-02-01 06:30:30+00:00,93.0,164.9,190.0,2434,10041.8,Sun Run,0,1,743.0,oauth,False,2025,2,5,6,Saturday,4.039780384658794,10.041799999999999,40.56666666666667,10-15km
3110,13116463789,SMC 10K,9953.4,2396,2396,2024-12-15 07:31:54+00:00,32.0,170.3,185.0,2396,9953.4,SMC 10k,0,1,1012.0,oauth,False,2024,12,6,7,Sunday,4.012029390292094,9.9534,39.93333333333333,5-10km
4387,13116607032,SMC half marathon,21111.8,6144,6132,2024-12-15 07:02:16+00:00,79.0,161.4,178.0,6132,21111.8,SMC Half marathon,0,1,1133.0,oauth,False,2024,12,6,7,Sunday,4.840894665542494,21.1118,102.2,21-42km
783,13061375595,Cookies soup run,5033.1,1331,1331,2024-12-07 08:03:29+00:00,30.0,164.2,175.0,1331,5033.1,parkrun,1,1,491.0,oauth,True,2024,12,5,8,Saturday,4.407489088898161,5.0331,22.183333333333334,5-10km
785,12855012547,Greenway parky 25min pacer,5041.6,1510,1506,2024-11-09 08:01:58+00:00,5.0,151.0,163.0,1506,5041.6,parkrun,1,1,519.0,oauth,True,2024,11,5,8,Saturday,4.978578229133608,5.041600000000001,25.1,5-10km
3111,12745046977,Bondi to Manly Leg 3,22709.6,8361,8229,2024-10-26 09:38:38+00:00,517.0,174.2,196.0,8229,22709.6,Bondi to Manly Leg 3,0,1,1130.0,oauth,False,2024,10,5,9,Saturday,6.039296156691444,22.7096,137.15,21-42km
2510,12744360079,Bondi to manly leg2,19710.6,6023,6004,2024-10-26 07:58:15+00:00,329.0,160.9,189.0,6004,19710.6,Bondi to Manly Leg 2,0,1,1130.0,oauth,False,2024,10,5,7,Saturday,5.076794550478761,19.7106,100.06666666666666,15-21km
787,12745739858,Bondi to Manly (official 10.08.49),78900.1,36652,34782,2024-10-26 05:25:56+00:00,1625.0,138.8,160.0,34782,78900.1,Bondi to Manly Ultra,0,1,1350.0,oauth,False,2024,10,5,5,Saturday,7.347265719561825,78.90010000000001,579.7,>42km
789,12688191184,Cookies,5034.0,1311,1311,2024-10-19 08:02:20+00:00,27.0,164.0,172.0,1311,5034.0,parkrun,1,1,488.0,oauth,True,2024,10,5,8,Saturday,4.340484704012714,5.034,21.85,5-10km
2511,12640404601,Three Bridges Run,10565.3,2840,2837,2024-10-13 08:00:24+00:00,63.0,158.7,169.0,2837,10565.3,Three Bridges 10k,0,1,1023.0,oauth,False,2024,10,6,8,Sunday,4.475342236693074,10.565299999999999,47.28333333333333,10-15km
791,12576446263,Reboot in Bermagui,15658.0,4822,4822,2024-10-05 08:59:42+00:00,107.0,168.3,181.0,4822,15658.0,ReBoot in Bermagui,0,1,1059.0,oauth,False,2024,10,5,8,Saturday,5.1326265593732705,15.658,80.36666666666666,15-21km
793,12518932599,Woodies time trial 4,5021.6,1281,1281,2024-09-28 08:00:48+00:00,26.0,165.2,176.0,1281,5021.6,parkrun,1,1,470.0,oauth,True,2024,9,5,8,Saturday,4.251632945674685,5.0216,21.35,5-10km
4318,12519529212,Cooks River Park Run,4962.6,1135,1135,2024-09-28 08:00:47+00:00,25.0,172.1,182.0,1135,4962.6,parkrun,1,1,397.0,oauth,True,2024,9,5,8,Saturday,3.8118459409718026,4.9626,18.916666666666668,<5km
2512,12412345039,Sydney 10km,10009.6,2629,2611,2024-09-15 07:39:22+00:00,111.0,161.6,178.0,2611,10009.6,Sydney Marathon 10k,0,1,1033.0,oauth,False,2024,9,6,7,Sunday,4.347493073316283,10.0096,43.516666666666666,10-15km
4388,12411925758,Sydney Marathon 2024,43189.5,14722,14699,2024-09-15 06:31:38+00:00,353.0,151.3,174.0,14699,43189.5,Sydney Marathon,0,1,1210.0,oauth,False,2024,9,6,6,Sunday,5.6722891752239155,43.1895,244.98333333333332,>42km
2246,12411768747,Sydney Marsthon 2024,42955.9,13039,13014,2024-09-15 06:26:07+00:00,347.0,159.0,178.0,13014,42955.9,Sydney Marathon,0,1,1178.0,oauth,False,2024,9,6,6,Sunday,5.0493645808841165,42.9559,216.9,>42km
795,12411819892,Sydney marathon,42493.4,13546,13512,2024-09-15 06:21:57+00:00,329.0,160.9,174.0,13512,42493.4,Sydney Marathon,0,1,1229.0,oauth,False,2024,9,6,6,Sunday,5.299646533344001,42.4934,225.2,>42km
3112,12411603592,Sydney Marathon,42074.2,11953,11927,2024-09-15 06:08:01+00:00,308.0,168.3,179.0,11927,42074.2,Sydney Marathon,0,1,1232.0,oauth,False,2024,9,6,6,Sunday,4.724589732741998,42.0742,198.78333333333333,>42km
2513,12353426243,Run to the hills,10224.3,2807,2807,2024-09-08 08:00:37+00:00,160.0,184.6,196.0,2807,10224.3,Run for the Hills,0,1,1046.0,oauth,False,2024,9,6,8,Sunday,4.575700373945731,10.2243,46.78333333333333,10-15km
803,12284533954,🍪🍪🍪,5003.2,1283,1283,2024-08-31 08:03:24+00:00,30.0,163.1,172.0,1283,5003.2,parkrun,1,1,478.0,oauth,True,2024,8,5,8,Saturday,4.273931350602282,5.0032,21.383333333333333,5-10km
4171,12233673693,Sydney Half 🏃🏻‍♀️,21358.0,6954,6954,2024-08-25 06:32:04+00:00,97.2,167.5,183.0,6954,21358.0,,0,1,1133.0,oauth,False,2024,8,6,6,Sunday,5.4265380653619255,21.358,115.9,21-42km
4319,12175155084,Penrith Duathlon: 2nd run leg - 2.5km,2549.8,611,611,2024-08-18 10:27:03+00:00,4.0,166.5,174.0,611,2549.8,,0,1,178.0,oauth,False,2024,8,6,10,Sunday,3.993777289722069,2.5498000000000003,10.183333333333334,<5km
4320,12175155060,Penrith Duathlon: 1st Run Leg - 5km,4782.7,1233,1233,2024-08-18 09:30:03+00:00,0.0,158.6,175.0,1233,4782.7,,0,1,156.0,oauth,False,2024,8,6,9,Sunday,4.296736153218893,4.7827,20.55,<5km
652,12174506745,Mudgee 10km - 46:35,10031.5,2797,2797,2024-08-18 08:00:02+00:00,30.0,151.8,168.0,2797,10031.5,Mudgee 10k,0,1,801.0,oauth,False,2024,8,6,8,Sunday,4.647028526807224,10.0315,46.61666666666667,10-15km
2247,12115025173,C2S 1min PB and hey look at my magic socks 🦄,14030.4,3822,3822,2024-08-11 07:37:42+00:00,204.0,164.6,177.0,3822,14030.4,City2Surf,0,1,1059.0,oauth,False,2024,8,6,7,Sunday,4.540141407230015,14.0304,63.7,10-15km
2514,12115591298,City2surf,14006.8,3962,3962,2024-08-11 07:37:33+00:00,198.0,179.0,199.0,3962,14006.8,City2Surf,0,1,1072.0,oauth,False,2024,8,6,7,Sunday,4.714376826493798,14.0068,66.03333333333333,10-15km
4389,12115029486,City2Surf 2024,14056.9,4051,4051,2024-08-11 07:36:13+00:00,199.0,161.9,175.0,4051,14056.9,City2Surf,0,1,1113.0,oauth,False,2024,8,6,7,Sunday,4.803097885498699,14.056899999999999,67.51666666666667,10-15km
804,12115090860,City2Surf 2024,13901.2,3797,3794,2024-08-11 07:35:54+00:00,191.0,166.6,178.0,3794,13901.2,City2Surf,0,1,1071.0,oauth,False,2024,8,6,7,Sunday,4.548767972069557,13.901200000000001,63.233333333333334,10-15km
806,12047239963,Panania parky,5003.4,1267,1267,2024-08-03 08:02:28+00:00,18.0,163.8,177.0,1267,5003.4,parkrun,1,1,444.0,oauth,True,2024,8,5,8,Saturday,4.2204634182089515,5.0034,21.116666666666667,5-10km
4321,12047094865,Panania Park Run,4993.0,1138,1138,2024-08-03 08:02:28+00:00,6.0,169.0,187.0,1138,4993.0,parkrun,1,1,486.0,oauth,True,2024,8,5,8,Saturday,3.7986514453568323,4.993,18.966666666666665,<5km
4322,11989299934,Park Run,4994.4,1163,1163,2024-07-27 08:02:37+00:00,71.0,166.7,180.0,1163,4994.4,parkrun,1,1,532.0,oauth,True,2024,7,5,8,Saturday,3.8810134016765443,4.9944,19.383333333333333,<5km
808,11989147384,Wet cookies,5028.2,1286,1283,2024-07-27 08:00:57+00:00,33.0,159.7,173.0,1283,5028.2,parkrun,1,1,518.0,oauth,True,2024,7,5,8,Saturday,4.252681542765469,5.0282,21.383333333333333,5-10km
3113,11939031724,Sutherland 2 Surf,11098.9,2727,2727,2024-07-21 07:30:32+00:00,77.0,174.6,184.0,2727,11098.9,Sutherland 2 Surf,0,1,613.0,oauth,False,2024,7,6,7,Sunday,4.095000405445584,11.0989,45.45,10-15km
2515,11874199318,Raffertys 12km + more,12778.5,4236,4231,2024-07-13 10:00:57+00:00,296.0,175.9,193.0,4231,12778.5,Raffertys Coastal,0,1,1052.0,oauth,False,2024,7,5,10,Saturday,5.51838374352754,12.7785,70.51666666666667,10-15km
810,11873090012,Point Hut Pond parkrun,4960.5,1298,1293,2024-07-13 08:01:03+00:00,39.0,158.0,169.0,1293,4960.5,parkrun,1,1,454.0,oauth,True,2024,7,5,8,Saturday,4.344320129019253,4.9605,21.55,<5km
812,11825721235,Sri Chinmoy Dolls Point HM,21184.9,6227,6217,2024-07-07 08:02:59+00:00,93.0,172.9,185.0,6217,21184.9,Sri Chinmoy Dolls Point Half marathon,0,1,1104.0,oauth,False,2024,7,6,8,Sunday,4.891062344720374,21.184900000000003,103.61666666666666,21-42km
4172,11825914323,GC Double Part 2: Marathon 🥳,42802.6,15923,15923,2024-07-07 06:26:51+00:00,86.6,153.5,174.0,15923,42802.6,Gold Coast Marathon,0,1,1194.0,oauth,False,2024,7,6,6,Sunday,6.200168525588009,42.8026,265.3833333333333,>42km
